Date,AAPL,AMZN,GOOGL,META,MSFT
2021-01-14,125.48773956298828,156.37350463867188,85.95317077636719,244.1349639892578,204.40118408203125
2021-01-15,123.76469421386719,155.21249389648438,85.78929901123047,249.81993103027344,204.046142578125
2021-01-19,124.43639373779297,156.03799438476562,88.61234283447266,259.500244140625,207.68276977539062
2021-01-20,128.52490234375,163.16900634765625,93.3595962524414,265.8411560058594,215.26315307617188
2021-01-21,133.2364044189453,165.34950256347656,93.56218719482422,271.1981506347656,215.86766052246094
2021-01-22,135.3780517578125,164.6114959716797,93.97981262207031,272.8181457519531,216.80799865722656
2021-01-25,139.12579345703125,164.6999969482422,94.06522369384766,276.30670166015625,220.24313354492188
2021-01-26,139.35943603515625,166.30650329589844,94.7440414428711,280.3218688964844,222.9298858642578
2021-01-27,138.2886199951172,161.62899780273438,90.32402038574219,270.4726257324219,223.476806640625
2021-01-28,133.45057678222656,161.88099670410156,92.0252914428711,263.3763732910156,229.26284790039062
2021-01-29,128.45677185058594,160.30999755859375,90.74213409423828,256.74725341796875,222.5748291015625
2021-02-01,130.5789031982422,167.1439971923828,94.0051498413086,260.4046936035156,229.95370483398438
2021-02-02,131.40634155273438,169.0,95.29871368408203,265.4436340332031,229.81935119628906
2021-02-03,130.38421630859375,165.62649536132812,102.23885345458984,265.0162658691406,233.1681671142578
2021-02-04,133.74261474609375,166.5500030517578,101.97815704345703,264.8572082519531,232.2182159423828
2021-02-05,133.32827758789062,167.6074981689453,103.72608947753906,266.4573974609375,232.4005126953125
2021-02-08,133.47451782226562,166.14700317382812,103.51206970214844,264.9466247558594,232.65960693359375
2021-02-09,132.59710693359375,165.25,103.05870056152344,267.7991027832031,233.9070281982422
2021-02-10,131.99267578125,164.32899475097656,103.6093978881836,270.20428466796875,232.9954376220703
2021-02-11,131.7391815185547,163.10650634765625,103.72212219238281,268.7333679199219,234.59791564941406
2021-02-12,131.97315979003906,163.885498046875,104.0339584350586,268.8426818847656,235.07765197753906
2021-02-16,129.84783935546875,163.44749450683594,104.81210327148438,272.2913818359375,233.83982849121094
2021-02-17,127.55683135986328,165.4320068359375,105.20539093017578,271.89385986328125,234.8592529296875
2021-02-18,126.45521545410156,166.4114990234375,104.56926727294922,267.7394714355469,234.46495056152344
2021-02-19,126.61113739013672,162.4949951171875,103.72509765625,259.9573974609375,231.75282287597656
2021-02-22,122.83827209472656,159.03700256347656,102.0094223022461,258.7349548339844,225.5399169921875
2021-02-23,122.70178985595703,159.72500610351562,102.30042266845703,264.2310485839844,224.34735107421875
2021-02-24,122.20458221435547,157.97650146484375,103.47681427001953,262.6905822753906,225.5784149169922
2021-02-25,117.9539794921875,152.85800170898438,100.1070556640625,253.12953186035156,220.23109436035156
2021-02-26,118.21721649169922,154.64649963378906,100.40300750732422,256.04156494140625,223.49139404296875
2021-03-01,124.58335876464844,157.3070068359375,102.77415466308594,263.2868957519531,227.8769989013672
2021-03-02,121.98036193847656,154.72650146484375,102.51693725585938,257.4131164550781,224.92440795898438
